@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE balanced_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.10479997872457936,ok
75193,1.0,2,0.08442819218464404,ok
2117,1.0,3,0.17109814292135694,ok
75156,1.0,4,0.21734587389514637,ok
75129,1.0,5,0.192266157168965,ok
75243,1.0,6,0.00017869907076484282,ok
75110,1.0,7,0.11438035269712943,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.10882821042356738,ok
75221,1.0,10,0.49367294106085524,ok
258,1.0,11,0.015351561006401226,ok
75121,1.0,12,0.008213552361396315,ok
253,1.0,13,0.45319361020858306,ok
261,1.0,14,0.284992784992785,ok
75168,1.0,15,0.12690769463557305,ok
75240,1.0,16,0.017683772538141462,ok
75120,1.0,17,0.14759713701431498,ok
75124,1.0,18,0.18254670356825153,ok
75154,1.0,19,?,not_applicable
75176,1.0,20,0.017606521291655963,ok
75103,1.0,21,0.004451492743734908,ok
75207,1.0,22,0.17772710057267038,ok
75095,1.0,23,0.053508150248051,ok
273,1.0,24,0.043203901227352404,ok
75174,1.0,25,0.13245243877779256,ok
75153,1.0,26,0.1104934687953556,ok
75093,1.0,27,0.32702822808555254,ok
75119,1.0,28,0.09785123966942144,ok
75201,1.0,29,0.11342581711096089,ok
75215,1.0,30,0.027857234538020137,ok
75172,1.0,31,0.08107455537475816,ok
75169,1.0,32,0.042682603822742804,ok
75202,1.0,33,0.17326637417157176,ok
75233,1.0,34,0.0757885564914319,ok
75230,1.0,35,?,not_applicable
75231,1.0,36,0.15742460317460316,ok
75196,1.0,37,0.0071428571428571175,ok
248,1.0,38,0.23406357145915768,ok
75191,1.0,39,0.12955983781888625,ok
260,1.0,40,0.05108916106909955,ok
75115,1.0,41,0.08536585365853666,ok
75123,1.0,42,0.33928528176989314,ok
75108,1.0,43,0.0020565700316648172,ok
75101,1.0,44,0.2729368740785383,ok
75192,1.0,45,0.5017091129505052,ok
75232,1.0,46,0.12836226193534173,ok
75173,1.0,47,0.11745535714285715,ok
75197,1.0,48,0.20979522656916072,ok
266,1.0,49,0.0215418367461383,ok
75148,1.0,50,0.16783495027338224,ok
75150,1.0,51,0.29018045960806427,ok
75100,1.0,52,0.2703553931098841,ok
75178,1.0,53,0.7968118408922672,ok
75236,1.0,54,0.0334428049572304,ok
75179,1.0,55,0.19468449953857936,ok
75213,1.0,56,0.08403626330311398,ok
2123,1.0,57,0.20373015873015865,ok
75227,1.0,58,0.10921363267612816,ok
75184,1.0,59,0.12853375458952243,ok
75142,1.0,60,0.07011794448925335,ok
236,1.0,61,0.03336304635224385,ok
2122,1.0,62,0.11438035269712943,ok
75188,1.0,63,0.24797866059379214,ok
75166,1.0,64,0.11605781532044657,ok
75133,1.0,65,0.13655419073026298,ok
75134,1.0,66,0.15980784053143937,ok
2119,1.0,67,?,not_applicable
75198,1.0,68,0.1226615947492955,ok
262,1.0,69,0.0039137846677614885,ok
75234,1.0,70,0.02333717904000432,ok
75139,1.0,71,0.012945050991462148,ok
252,1.0,72,0.16454989599365955,ok
75117,1.0,73,0.08956118407337921,ok
75113,1.0,74,0.004489337822671136,ok
75098,1.0,75,0.030258157428563637,ok
246,1.0,76,0.022910129958866654,ok
75203,1.0,77,0.1123417222191615,ok
75237,1.0,78,0.00033019249850685384,ok
75195,1.0,79,0.000187687687687621,ok
75171,1.0,80,0.1628233964594754,ok
75096,1.0,81,0.41607525044488436,ok
75250,1.0,82,0.35126786046648306,ok
75146,1.0,83,0.11382597914229442,ok
75116,1.0,84,0.011952361912377918,ok
75157,1.0,85,0.44931603773584905,ok
75187,1.0,86,0.01689738757892023,ok
2350,1.0,87,0.440687553443015,ok
242,1.0,88,0.015140568568580925,ok
244,1.0,89,0.1549695283034126,ok
75125,1.0,90,0.06332991540630606,ok
75185,1.0,91,0.12518590637984695,ok
75163,1.0,92,0.0632838628762542,ok
75177,1.0,93,0.019510096133663613,ok
75189,1.0,94,0.03116658203307754,ok
75244,1.0,95,0.17488535457687138,ok
75219,1.0,96,0.04736175954537103,ok
75222,1.0,97,0.11577380952380956,ok
75159,1.0,98,0.19764730818143283,ok
75175,1.0,99,0.10510986162406,ok
75109,1.0,100,0.34707710562317773,ok
75105,1.0,101,0.2557998917858615,ok
75106,1.0,102,0.3679549808166245,ok
75212,1.0,103,0.24673941396400312,ok
75099,1.0,104,0.24214445027551823,ok
75248,1.0,105,0.19300222408790302,ok
233,1.0,106,0.00483427413518589,ok
75235,1.0,107,0.0017675881001021354,ok
75226,1.0,108,0.008953664846301557,ok
75132,1.0,109,0.36787951201097036,ok
75127,1.0,110,0.34005252279090525,ok
251,1.0,111,0.004507464698547459,ok
75161,1.0,112,0.06298165559819946,ok
75143,1.0,113,0.018110435663627134,ok
75114,1.0,114,0.03275233538391431,ok
75182,1.0,115,0.1343144456546519,ok
75112,1.0,116,0.13690731939126266,ok
75205,1.0,117,0.1818329661339847,ok
75090,1.0,118,0.0803412050240363,ok
275,1.0,119,0.033147749820286676,ok
288,1.0,120,0.1302971791501376,ok
75092,1.0,121,0.10023310023310028,ok
3043,1.0,122,0.019510096133663613,ok
75249,1.0,123,0.009028742387007238,ok
75126,1.0,124,0.09489788554521184,ok
75225,1.0,125,0.1415503384094754,ok
75141,1.0,126,0.05009043494087595,ok
75107,1.0,127,0.2709321470905126,ok
75097,1.0,128,0.303521106510237,ok
