@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,0.059927294475650705,ok
2117,1.0,2,0.14880477705233897,ok
75156,1.0,3,0.21401730690589327,ok
75129,1.0,4,0.13935808655507986,ok
75239,1.0,5,0.0,ok
75221,1.0,6,0.4376049310671537,ok
258,1.0,7,0.015648909308332515,ok
75121,1.0,8,0.014573166362694012,ok
253,1.0,9,0.433293059722907,ok
261,1.0,10,0.2465273856578205,ok
75168,1.0,11,0.15951470395684797,ok
75240,1.0,12,0.02190680155196323,ok
75120,1.0,13,0.08362715747912197,ok
75124,1.0,14,0.09351347173071822,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.017469543246884767,ok
75103,1.0,17,0.004985346781748223,ok
75207,1.0,18,0.15364322986753365,ok
75095,1.0,19,0.014953057246290369,ok
273,1.0,20,0.04819019699282123,ok
75174,1.0,21,0.11936665275091674,ok
75153,1.0,22,0.11060738397883751,ok
75093,1.0,23,0.21887982785808924,ok
75119,1.0,24,0.08428002961437298,ok
75201,1.0,25,0.10177805427486553,ok
75172,1.0,26,0.08236142748233277,ok
75202,1.0,27,0.16507189534974298,ok
75233,1.0,28,0.06477600750644952,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,0.19936501674448237,ok
75196,1.0,31,0.010381966713089663,ok
248,1.0,32,0.2385575717132864,ok
75191,1.0,33,0.13033886050283738,ok
260,1.0,34,0.036531892760894746,ok
75115,1.0,35,0.01434319401706019,ok
75123,1.0,36,0.3340073153720058,ok
75108,1.0,37,0.003665704941579251,ok
75192,1.0,38,0.5084352917216666,ok
75232,1.0,39,0.1251032421009226,ok
75173,1.0,40,0.11750720919175162,ok
75197,1.0,41,0.1631767112206003,ok
75150,1.0,42,0.2903257402916338,ok
75100,1.0,43,0.011733379177603642,ok
75178,1.0,44,0.797472159984053,ok
75236,1.0,45,0.034237116826133396,ok
75179,1.0,46,0.18903269806514245,ok
75213,1.0,47,0.07698991552639334,ok
2123,1.0,48,0.08524117053218883,ok
75227,1.0,49,0.09561769337552195,ok
75184,1.0,50,0.10660861376678721,ok
75142,1.0,51,0.07009789039121539,ok
75188,1.0,52,0.18647945730646254,ok
75133,1.0,53,0.046908507835018654,ok
75134,1.0,54,0.09147182701825429,ok
2119,1.0,55,?,not_applicable
75198,1.0,56,0.11779487119442178,ok
262,1.0,57,0.004413522568559869,ok
75234,1.0,58,0.023342083076861475,ok
252,1.0,59,0.16870802017096598,ok
75117,1.0,60,0.10203989224074139,ok
75113,1.0,61,0.006786091861291754,ok
75098,1.0,62,0.030028156281110774,ok
246,1.0,63,0.022664247184283393,ok
75203,1.0,64,0.11407419364341842,ok
75237,1.0,65,0.00038324311063009375,ok
75195,1.0,66,0.0002229889009935926,ok
75171,1.0,67,0.16278797675773649,ok
75096,1.0,68,0.6653222924356599,ok
75250,1.0,69,0.34130200029984514,ok
75146,1.0,70,0.11083689476413383,ok
75116,1.0,71,0.011675224117151939,ok
75157,1.0,72,0.4448519762219819,ok
75187,1.0,73,0.016791531259141346,ok
2350,1.0,74,0.42680928493187353,ok
242,1.0,75,0.015153216400462188,ok
244,1.0,76,0.16096934800801255,ok
75125,1.0,77,0.029916171383657875,ok
75163,1.0,78,0.06253934153108676,ok
75177,1.0,79,0.014682978812440295,ok
75189,1.0,80,0.032935047150801755,ok
75244,1.0,81,0.18613907689849385,ok
75222,1.0,82,0.09362641857465093,ok
75159,1.0,83,0.09874487053152159,ok
75105,1.0,84,0.027348705771975235,ok
75106,1.0,85,0.10302097568772983,ok
75212,1.0,86,0.2471990522340538,ok
75099,1.0,87,0.1891829944384249,ok
75248,1.0,88,0.20642055953247962,ok
75235,1.0,89,0.0016676043694638931,ok
75226,1.0,90,0.006966802086131874,ok
75132,1.0,91,0.0666586862548918,ok
75127,1.0,92,0.33585855218262317,ok
75143,1.0,93,0.01420366406784701,ok
75114,1.0,94,0.025416668675242615,ok
75182,1.0,95,0.12084773934559434,ok
75205,1.0,96,0.1741944622015994,ok
75090,1.0,97,0.07937359751931194,ok
275,1.0,98,0.030356078292365307,ok
288,1.0,99,0.13047253924993574,ok
75092,1.0,100,0.10311591312100299,ok
3043,1.0,101,0.014682978812440295,ok
75249,1.0,102,0.005640210878858465,ok
75126,1.0,103,0.09528420552905326,ok
75225,1.0,104,0.0889958486279907,ok
75141,1.0,105,0.05162134975467736,ok
75107,1.0,106,0.05966597749852154,ok
75097,1.0,107,0.18606908310828274,ok
