@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,0.059436820995864004,ok
2117,1.0,2,0.1430787367376063,ok
75156,1.0,3,0.2134195634599838,ok
75129,1.0,4,0.1631067961165048,ok
75239,1.0,5,0.0,ok
75221,1.0,6,0.4499504459861249,ok
258,1.0,7,0.015641855447680708,ok
75121,1.0,8,0.015717092337917515,ok
253,1.0,9,0.4320987654320988,ok
261,1.0,10,0.22424242424242424,ok
75168,1.0,11,0.15927419354838712,ok
75240,1.0,12,0.022020725388601003,ok
75120,1.0,13,0.10805500982318272,ok
75124,1.0,14,0.0838363514419852,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.0174717368961973,ok
75103,1.0,17,0.00505263157894742,ok
75207,1.0,18,0.1502890173410405,ok
75095,1.0,19,0.015037593984962405,ok
273,1.0,20,0.04808959156785242,ok
75174,1.0,21,0.12064378824155364,ok
75153,1.0,22,0.11061783203847575,ok
75093,1.0,23,0.20768374164810688,ok
75119,1.0,24,0.10609037328094306,ok
75201,1.0,25,0.10157790927021693,ok
75172,1.0,26,0.08181818181818179,ok
75202,1.0,27,0.17216117216117222,ok
75233,1.0,28,0.06474287828338887,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,0.1897533206831119,ok
75196,1.0,31,0.010443864229765065,ok
248,1.0,32,0.2272727272727273,ok
75191,1.0,33,0.1299747800947284,ok
260,1.0,34,0.03931339977851611,ok
75115,1.0,35,0.013752455795677854,ok
75123,1.0,36,0.3367198838896952,ok
75108,1.0,37,0.003674781809830052,ok
75192,1.0,38,0.508274231678487,ok
75232,1.0,39,0.12643678160919536,ok
75173,1.0,40,0.11751592356687901,ok
75197,1.0,41,0.16256157635467983,ok
75150,1.0,42,0.287833827893175,ok
75100,1.0,43,0.01626898047722347,ok
75178,1.0,44,0.7967285954370698,ok
75236,1.0,45,0.03428571428571425,ok
75179,1.0,46,0.1942286348501665,ok
75213,1.0,47,0.07874015748031493,ok
2123,1.0,48,0.08371040723981904,ok
75227,1.0,49,0.09534492428491304,ok
75184,1.0,50,0.10370640861785652,ok
75142,1.0,51,0.0700958893927005,ok
75188,1.0,52,0.17898832684824906,ok
75133,1.0,53,0.07813000320204933,ok
75134,1.0,54,0.09093248534088194,ok
2119,1.0,55,?,not_applicable
75198,1.0,56,0.11572606214331005,ok
262,1.0,57,0.004411359250068969,ok
75234,1.0,58,0.023341523341523396,ok
252,1.0,59,0.16515151515151516,ok
75117,1.0,60,0.12377210216110024,ok
75113,1.0,61,0.006947368421052591,ok
75098,1.0,62,0.030000000000000027,ok
246,1.0,63,0.022727272727272707,ok
75203,1.0,64,0.11352885525070955,ok
75237,1.0,65,0.0003833407528317512,ok
75195,1.0,66,0.00022299858767560465,ok
75171,1.0,67,0.16278209396966337,ok
75096,1.0,68,0.49879084233057014,ok
75250,1.0,69,0.3448121918058402,ok
75146,1.0,70,0.11086621115274409,ok
75116,1.0,71,0.011787819253438081,ok
75157,1.0,72,0.43732590529247906,ok
75187,1.0,73,0.01678951678951679,ok
2350,1.0,74,0.3718266796982683,ok
242,1.0,75,0.015151515151515138,ok
244,1.0,76,0.15909090909090906,ok
75125,1.0,77,0.029469548133595258,ok
75163,1.0,78,0.0625,ok
75177,1.0,79,0.015273311897106123,ok
75189,1.0,80,0.0330529815290338,ok
75244,1.0,81,0.24708704592186426,ok
75222,1.0,82,0.10633484162895923,ok
75159,1.0,83,0.0767123287671233,ok
75105,1.0,84,0.0207878787878788,ok
75106,1.0,85,0.07206060606060605,ok
75212,1.0,86,0.24708624708624705,ok
75099,1.0,87,0.2028776978417266,ok
75248,1.0,88,0.25627530364372475,ok
75235,1.0,89,0.0016666666666667052,ok
75226,1.0,90,0.006997261940979604,ok
75132,1.0,91,0.0447946473231553,ok
75127,1.0,92,0.3307827142182971,ok
75143,1.0,93,0.01421091997008228,ok
75114,1.0,94,0.025540275049115935,ok
75182,1.0,95,0.12223995743548821,ok
75205,1.0,96,0.1740428998099376,ok
75090,1.0,97,0.07954545454545459,ok
275,1.0,98,0.03041825095057038,ok
288,1.0,99,0.13030303030303025,ok
75092,1.0,100,0.11850311850311845,ok
3043,1.0,101,0.015273311897106123,ok
75249,1.0,102,0.00562700964630225,ok
75126,1.0,103,0.10609037328094306,ok
75225,1.0,104,0.1064593301435407,ok
75141,1.0,105,0.05179430262671103,ok
75107,1.0,106,0.05103030303030298,ok
75097,1.0,107,0.2513640987699991,ok
