@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,0.06896888651400779,ok
2117,1.0,2,0.18120362449769256,ok
75156,1.0,3,0.21415950665188466,ok
75129,1.0,4,0.33877665544332214,ok
75239,1.0,5,0.0,ok
75221,1.0,6,0.5250251604247298,ok
258,1.0,7,0.015456858383508076,ok
75121,1.0,8,0.1333333333333333,ok
253,1.0,9,0.4558140273365425,ok
261,1.0,10,0.24363636363636365,ok
75168,1.0,11,0.12159223757061399,ok
75240,1.0,12,0.027567567567567508,ok
75120,1.0,13,0.406972036277262,ok
75124,1.0,14,0.21096835593623597,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.01767434160390602,ok
75103,1.0,17,0.02117606468080946,ok
75207,1.0,18,0.17681769102990041,ok
75095,1.0,19,0.08011056176275932,ok
273,1.0,20,0.048844567801870076,ok
75174,1.0,21,0.1500850340136054,ok
75153,1.0,22,0.11064061011529991,ok
75093,1.0,23,0.361564301255869,ok
75119,1.0,24,0.3567559611421842,ok
75201,1.0,25,0.12225763153059743,ok
75172,1.0,26,0.08329444824181675,ok
75202,1.0,27,0.2622044889906584,ok
75233,1.0,28,0.07596906444390117,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,0.16966666666666685,ok
75196,1.0,31,0.01869158878504673,ok
248,1.0,32,0.19225053210490262,ok
75191,1.0,33,0.12537222374355061,ok
260,1.0,34,0.23378479827142473,ok
75115,1.0,35,0.00736842105263158,ok
75123,1.0,36,0.333978322987906,ok
75108,1.0,37,0.009314272304940197,ok
75192,1.0,38,0.5084755669862053,ok
75232,1.0,39,0.14373658845463821,ok
75173,1.0,40,0.11756881379753004,ok
75197,1.0,41,0.1759775886559849,ok
75150,1.0,42,0.2827372262773723,ok
75100,1.0,43,0.471969450763731,ok
75178,1.0,44,0.7973109734648656,ok
75236,1.0,45,0.034409865032347886,ok
75179,1.0,46,0.22797583430437018,ok
75213,1.0,47,0.12304391721352848,ok
2123,1.0,48,0.33733225404534606,ok
75227,1.0,49,0.11353019276160503,ok
75184,1.0,50,0.10096555292900067,ok
75142,1.0,51,0.07006885456586742,ok
75188,1.0,52,0.25465315070979044,ok
75133,1.0,53,0.47535553997194946,ok
75134,1.0,54,0.13074250327982329,ok
2119,1.0,55,?,not_applicable
75198,1.0,56,0.10989710455298729,ok
262,1.0,57,0.004300447041005406,ok
75234,1.0,58,0.023291453595197353,ok
252,1.0,59,0.16786009770366006,ok
75117,1.0,60,0.30744498777506113,ok
75113,1.0,61,0.04919277449272785,ok
75098,1.0,62,0.03021639581489688,ok
246,1.0,63,0.0229213235809288,ok
75203,1.0,64,0.12190863406608499,ok
75237,1.0,65,0.0007586708933349229,ok
75195,1.0,66,0.0002745241581258995,ok
75171,1.0,67,0.16277465155859483,ok
75096,1.0,68,0.949879084233057,ok
75250,1.0,69,0.38988200635127024,ok
75146,1.0,70,0.11423422872715516,ok
75116,1.0,71,0.030251800538787177,ok
75157,1.0,72,0.4496925525937948,ok
75187,1.0,73,0.01666546931409152,ok
2350,1.0,74,0.44406063775076143,ok
242,1.0,75,0.01488407707402506,ok
244,1.0,76,0.15684798572052938,ok
75125,1.0,77,0.03602168110257664,ok
75163,1.0,78,0.06218279929012527,ok
75177,1.0,79,0.08238278075166061,ok
75189,1.0,80,0.04009886868074197,ok
75244,1.0,81,0.40384791239182805,ok
75222,1.0,82,0.2762034514078111,ok
75159,1.0,83,0.2848189415041782,ok
75105,1.0,84,0.42542898868200074,ok
75106,1.0,85,0.036032486817382914,ok
75212,1.0,86,0.2460438554426958,ok
75099,1.0,87,0.3548663979698462,ok
75248,1.0,88,0.38446394984326027,ok
75235,1.0,89,0.0010558988887161558,ok
75226,1.0,90,0.017430360568235548,ok
75132,1.0,91,0.12239575211776454,ok
75127,1.0,92,0.3333234440228747,ok
75143,1.0,93,0.01867491358263429,ok
75114,1.0,94,0.036272935779816495,ok
75182,1.0,95,0.1521555367709213,ok
75205,1.0,96,0.18338989003469375,ok
75090,1.0,97,0.07809589144886786,ok
275,1.0,98,0.03727628024599117,ok
288,1.0,99,0.13005695720793453,ok
75092,1.0,100,0.26763939551849925,ok
3043,1.0,101,0.08238278075166061,ok
75249,1.0,102,0.017207596688807225,ok
75126,1.0,103,0.23817663817663814,ok
75225,1.0,104,0.36111074318865155,ok
75141,1.0,105,0.05606206014075499,ok
75107,1.0,106,0.10206245086109167,ok
75097,1.0,107,0.44901776231314294,ok
