@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.09287179752269503,ok
75193,1.0,2,0.06896888651400779,ok
2117,1.0,3,0.18120362449769256,ok
75156,1.0,4,0.21415950665188466,ok
75129,1.0,5,0.33877665544332214,ok
75243,1.0,6,0.00018450184501839217,ok
75110,1.0,7,0.10031955380915669,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.0870254291724818,ok
75221,1.0,10,0.4959130628325571,ok
258,1.0,11,0.015456858383508076,ok
75121,1.0,12,0.1333333333333333,ok
253,1.0,13,0.4558140273365425,ok
261,1.0,14,0.24363636363636365,ok
75168,1.0,15,0.12159223757061399,ok
75240,1.0,16,0.027567567567567508,ok
75120,1.0,17,0.406972036277262,ok
75124,1.0,18,0.21096835593623597,ok
75154,1.0,19,?,not_applicable
75176,1.0,20,0.01767434160390602,ok
75103,1.0,21,0.02117606468080946,ok
75207,1.0,22,0.17681769102990041,ok
75095,1.0,23,0.08011056176275932,ok
273,1.0,24,0.044040836789572047,ok
75174,1.0,25,0.13211170375640302,ok
75153,1.0,26,0.11064061011529991,ok
75093,1.0,27,0.361564301255869,ok
75119,1.0,28,0.3567559611421842,ok
75201,1.0,29,0.12225763153059743,ok
75215,1.0,30,0.02622214480728946,ok
75172,1.0,31,0.08329444824181675,ok
75169,1.0,32,0.04280540444890224,ok
75202,1.0,33,0.2622044889906584,ok
75233,1.0,34,0.07596906444390117,ok
75230,1.0,35,?,not_applicable
75231,1.0,36,0.16966666666666685,ok
75196,1.0,37,0.01869158878504673,ok
248,1.0,38,0.19225053210490262,ok
75191,1.0,39,0.12537222374355061,ok
260,1.0,40,0.23378479827142473,ok
75115,1.0,41,0.00736842105263158,ok
75123,1.0,42,0.333978322987906,ok
75108,1.0,43,0.003292003940912447,ok
75101,1.0,44,0.2723909048227552,ok
75192,1.0,45,0.5020553879245959,ok
75232,1.0,46,0.14373658845463821,ok
75173,1.0,47,0.11756881379753004,ok
75197,1.0,48,0.1759775886559849,ok
