@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE log_loss NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,1.2124419464474396,ok
2117,1.0,2,1.3148767850861272,ok
75156,1.0,3,1.4645628947299727,ok
75129,1.0,4,1.3517465700060853,ok
75239,1.0,5,1.0794280552581312,ok
75221,1.0,6,2.2127178318955916,ok
258,1.0,7,1.2066599222295942,ok
75121,1.0,8,1.313454148314325,ok
253,1.0,9,1.917280094943358,ok
261,1.0,10,1.4973498753596548,ok
75168,1.0,11,1.6796914770588516,ok
75240,1.0,12,1.0799068422933964,ok
75120,1.0,13,1.5117336411803526,ok
75124,1.0,14,1.2090146397381294,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,1.0429275581210973,ok
75103,1.0,17,1.0210359747824382,ok
75207,1.0,18,1.8449343532065434,ok
75095,1.0,19,1.0721191543761004,ok
273,1.0,20,1.1524409965540827,ok
75174,1.0,21,1.283120559241812,ok
75153,1.0,22,1.2476635877921356,ok
75093,1.0,23,1.498433790410881,ok
75119,1.0,24,1.4709507682651632,ok
75201,1.0,25,1.6089646851136927,ok
75172,1.0,26,1.8376305973439506,ok
75202,1.0,27,1.809603707783006,ok
75233,1.0,28,1.1579056081702614,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,2.3898726014925815,ok
75196,1.0,31,1.0280530019908274,ok
248,1.0,32,1.6632110726278122,ok
75191,1.0,33,1.3299557990325,ok
260,1.0,34,1.138040857103426,ok
75115,1.0,35,1.075140866748522,ok
75123,1.0,36,1.7299696393067612,ok
75108,1.0,37,1.0204225908647346,ok
75192,1.0,38,1.693167036447683,ok
75232,1.0,39,1.3386405100190415,ok
75173,1.0,40,1.2871723411229472,ok
75197,1.0,41,1.8133563690823435,ok
75150,1.0,42,1.5576351638717538,ok
75100,1.0,43,1.0789415266839817,ok
75178,1.0,44,3.2270043763771024,ok
75236,1.0,45,1.456940119823086,ok
75179,1.0,46,1.4285396692256602,ok
75213,1.0,47,1.2097562469451584,ok
2123,1.0,48,1.4216663878394198,ok
75227,1.0,49,1.2285004504708197,ok
75184,1.0,50,1.267989641467622,ok
75142,1.0,51,1.1555905223541165,ok
75188,1.0,52,2.2871930862447165,ok
75133,1.0,53,1.4617473147392006,ok
75134,1.0,54,1.3689681980604953,ok
2119,1.0,55,?,not_applicable
75198,1.0,56,1.6443014245385956,ok
262,1.0,57,1.0770726220307758,ok
75234,1.0,58,1.238420435468484,ok
252,1.0,59,1.596363740518802,ok
75117,1.0,60,1.5986548628076438,ok
75113,1.0,61,1.0307263098480242,ok
75098,1.0,62,1.2353876246112647,ok
246,1.0,63,1.4307159711423358,ok
75203,1.0,64,1.680171561511119,ok
75237,1.0,65,1.002157906262139,ok
75195,1.0,66,1.0004482522595703,ok
75171,1.0,67,1.3685738720532812,ok
75096,1.0,68,2.955607707416256,ok
75250,1.0,69,2.0126648195712664,ok
75146,1.0,70,1.254379029294197,ok
75116,1.0,71,1.205236611510305,ok
75157,1.0,72,1.692274054444932,ok
75187,1.0,73,1.067795176697803,ok
2350,1.0,74,1.6625291403577482,ok
242,1.0,75,1.2113311197502878,ok
244,1.0,76,1.5201675799290761,ok
75125,1.0,77,1.1281142500711767,ok
75163,1.0,78,1.2087485008812735,ok
75177,1.0,79,1.0456169323228741,ok
75189,1.0,80,1.1031892682016355,ok
75244,1.0,81,1.386266268283128,ok
75222,1.0,82,1.2514800877625474,ok
75159,1.0,83,1.2851784119125949,ok
75105,1.0,84,1.1108623963179292,ok
75106,1.0,85,1.2376823041801055,ok
75212,1.0,86,1.5116091258595925,ok
75099,1.0,87,1.4862432652293778,ok
75248,1.0,88,1.366140901852566,ok
75235,1.0,89,1.014559520826798,ok
75226,1.0,90,1.0617729886891363,ok
75132,1.0,91,1.3786273051241607,ok
75127,1.0,92,1.6077918170880734,ok
75143,1.0,93,1.040160332420897,ok
75114,1.0,94,1.1393372355246723,ok
75182,1.0,95,1.2847724504706013,ok
75205,1.0,96,1.907679153492504,ok
75090,1.0,97,1.6515634156752563,ok
275,1.0,98,1.2707392120782934,ok
288,1.0,99,1.2974732218216982,ok
75092,1.0,100,1.265448975544268,ok
3043,1.0,101,1.0456169323228741,ok
75249,1.0,102,1.0242179041394104,ok
75126,1.0,103,1.498871088641653,ok
75225,1.0,104,1.3940439583353796,ok
75141,1.0,105,1.1719680062776536,ok
75107,1.0,106,1.1762638610017329,ok
75097,1.0,107,1.5452952525051065,ok
