@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,0.059202804198581815,ok
2117,1.0,2,0.14300741789648297,ok
75156,1.0,3,0.21367919265012447,ok
75129,1.0,4,0.0920107494009238,ok
75239,1.0,5,0.0,ok
75221,1.0,6,0.4063751515134182,ok
258,1.0,7,0.015584426084608194,ok
75121,1.0,8,0.011525867714472837,ok
253,1.0,9,0.411657058813074,ok
261,1.0,10,0.23199999999999998,ok
75168,1.0,11,0.15495036451382882,ok
75240,1.0,12,0.02080660971852688,ok
75120,1.0,13,0.0385479846884772,ok
75124,1.0,14,0.0891580007270022,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.017465245065645063,ok
75103,1.0,17,0.0048088251029252405,ok
75207,1.0,18,0.14880885567696645,ok
75095,1.0,19,0.01485506111602053,ok
273,1.0,20,0.04814351844171094,ok
75174,1.0,21,0.11710749077497451,ok
75153,1.0,22,0.11046814753363099,ok
75093,1.0,23,0.20963788521230275,ok
75119,1.0,24,0.03923906046766101,ok
75201,1.0,25,0.10080845590827592,ok
75172,1.0,26,0.07800891576968116,ok
75202,1.0,27,0.13325227725312938,ok
75233,1.0,28,0.06480648273755607,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,0.1517702780036746,ok
75196,1.0,31,0.010053439398745811,ok
248,1.0,32,0.18794799539485274,ok
75191,1.0,33,0.1250490030131428,ok
260,1.0,34,0.031245096295159258,ok
75115,1.0,35,0.013549788026057219,ok
75123,1.0,36,0.33003795048691964,ok
75108,1.0,37,0.0036437687006678487,ok
75192,1.0,38,0.5084198784968363,ok
75232,1.0,39,0.12160892853604854,ok
75173,1.0,40,0.11744675941910454,ok
75197,1.0,41,0.1564458784365078,ok
75150,1.0,42,0.28346531222248694,ok
75100,1.0,43,0.005552804601424266,ok
75178,1.0,44,0.7972706062819856,ok
75236,1.0,45,0.03342791692625213,ok
75179,1.0,46,0.17344470802088463,ok
75213,1.0,47,0.07299264270411421,ok
2123,1.0,48,0.05763523355313016,ok
75227,1.0,49,0.09582411449510253,ok
75184,1.0,50,0.10308733705440631,ok
75142,1.0,51,0.0700826148070699,ok
75188,1.0,52,0.16494467821026182,ok
75133,1.0,53,0.007586141424989701,ok
75134,1.0,54,0.0911275239607463,ok
2119,1.0,55,?,not_applicable
75198,1.0,56,0.11181071041381474,ok
262,1.0,57,0.004390873559975805,ok
75234,1.0,58,0.023287281116337044,ok
252,1.0,59,0.1680023182499717,ok
75117,1.0,60,0.05363164746062321,ok
75113,1.0,61,0.0063082236732625585,ok
75098,1.0,62,0.030010306190529135,ok
246,1.0,63,0.02237159495224006,ok
75203,1.0,64,0.1121170014644578,ok
75237,1.0,65,0.00038289895670629015,ok
75195,1.0,66,0.0002228761506765098,ok
75171,1.0,67,0.1627791896141244,ok
75096,1.0,68,0.7487893802683006,ok
75250,1.0,69,0.31579599388488544,ok
75146,1.0,70,0.1108032575532224,ok
75116,1.0,71,0.011349505157643436,ok
75157,1.0,72,0.4436031394473936,ok
75187,1.0,73,0.016753608309788337,ok
2350,1.0,74,0.40967853826318557,ok
242,1.0,75,0.01495568411589554,ok
244,1.0,76,0.15732119529885813,ok
75125,1.0,77,0.029743368615881116,ok
75163,1.0,78,0.062428374033254075,ok
75177,1.0,79,0.013181100649569122,ok
75189,1.0,80,0.032609863240695924,ok
75244,1.0,81,0.05969975998817245,ok
75222,1.0,82,0.06471569240579289,ok
75159,1.0,83,0.0760233589560807,ok
75105,1.0,84,0.023225511203590288,ok
75106,1.0,85,0.06686756038474329,ok
75212,1.0,86,0.24581724856366294,ok
75099,1.0,87,0.13921673226476194,ok
75248,1.0,88,0.07801100525907656,ok
75235,1.0,89,0.0016643445745613272,ok
75226,1.0,90,0.0068951132227778045,ok
75132,1.0,91,0.051745899917431726,ok
75127,1.0,92,0.3322954351951031,ok
75143,1.0,93,0.014194939721489552,ok
75114,1.0,94,0.025197425161783582,ok
75182,1.0,95,0.11786155230351092,ok
75205,1.0,96,0.17249844971938222,ok
75090,1.0,97,0.07603039465754113,ok
275,1.0,98,0.030226741539492452,ok
288,1.0,99,0.13012365723991992,ok
75092,1.0,100,0.06611833302818182,ok
3043,1.0,101,0.013181100649569122,ok
75249,1.0,102,0.005649067907335548,ok
75126,1.0,103,0.06872833522467237,ok
75225,1.0,104,0.05038329322574142,ok
75141,1.0,105,0.050785376500459556,ok
75107,1.0,106,0.055411716557528856,ok
75097,1.0,107,0.07504880733433039,ok
