@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1_macro NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.09975848772970075,ok
75193,1.0,2,0.10155485606312031,ok
2117,1.0,3,0.20954327374122272,ok
75156,1.0,4,0.21622895765575834,ok
75129,1.0,5,0.3076463560334528,ok
75243,1.0,6,0.00018166645616324306,ok
75110,1.0,7,0.10843080846440323,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.09951314819091506,ok
75221,1.0,10,0.5105833852210038,ok
258,1.0,11,0.015440331089720871,ok
75121,1.0,12,0.08106386367255936,ok
253,1.0,13,0.4607125724979446,ok
261,1.0,14,0.3133822699040091,ok
75168,1.0,15,0.14952852788983706,ok
75240,1.0,16,0.023175600360006987,ok
75120,1.0,17,0.3773877407961608,ok
75124,1.0,18,0.2804409400032455,ok
75154,1.0,19,?,not_applicable
75176,1.0,20,0.017728707244241138,ok
75103,1.0,21,0.020460850137554276,ok
75207,1.0,22,0.1811307052796869,ok
75095,1.0,23,0.07539682539682535,ok
273,1.0,24,0.04362667926950381,ok
75174,1.0,25,0.13395756151500815,ok
75153,1.0,26,0.11063145994235146,ok
75093,1.0,27,0.3536674769013046,ok
75119,1.0,28,0.3105748190540313,ok
75201,1.0,29,0.11944101568540832,ok
75215,1.0,30,0.0270804923277832,ok
75172,1.0,31,0.08662494858842607,ok
75169,1.0,32,0.04291642123400652,ok
75202,1.0,33,0.2532408501356064,ok
75233,1.0,34,0.07640436480073809,ok
75230,1.0,35,?,not_applicable
75231,1.0,36,0.1889811377133358,ok
75196,1.0,37,0.013120931825967741,ok
248,1.0,38,0.244623445993969,ok
75191,1.0,39,0.13029107988528732,ok
260,1.0,40,0.17162106745336136,ok
75115,1.0,41,0.0503782255213856,ok
75123,1.0,42,0.3372733231870292,ok
75108,1.0,43,0.0026754627985315915,ok
75101,1.0,44,0.2727415180526477,ok
75192,1.0,45,0.5059255597672997,ok
75232,1.0,46,0.13732735426008968,ok
75173,1.0,47,0.11753796580984865,ok
75197,1.0,48,0.21001640908596886,ok
266,1.0,49,0.021572411435965444,ok
